time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
62125000,1220,194,3,38,12,12,29,38e07,-1104,-488,1104,488,33,1c,29,42,262144
62135000,1220,195,3,39,12,12,1c,07fc0,1104,-160,1104,160,30,33,1c,43,262144
62145000,1220,196,3,40,12,12,33,3f03f,-1104,-488,1104,488,11,30,33,44,262144
62155000,1220,197,3,41,12,12,30,3f000,160,-160,160,160,30,11,30,45,262144
62165000,1220,198,3,42,12,12,11,07007,1104,-160,1104,160,13,30,11,46,262144
62175000,1221,199,3,43,12,12,30,3f000,1104,-160,1104,160,11,13,30,46,262144
62185000,1221,200,3,44,12,12,13,0703f,-1120,784,1120,784,11,11,13,47,262144
62195000,1221,201,3,45,12,12,11,07007,1108,-473,1108,473,28,11,11,48,260096
62215000,1221,202,3,46,12,12,28,38e00,-483,-169,483,169,09,31,28,50,258064
62225000,1222,203,3,47,12,12,31,3f007,-491,782,491,782,16,09,31,51,258064
62235000,1222,204,3,48,12,12,09,00e07,-168,-170,168,170,2e,16,09,0,258064
62245000,1222,205,3,49,12,12,16,071f8,-168,-170,168,170,12,2e,16,0,258064
62255000,1222,206,3,50,12,12,2e,38ff8,-168,-170,168,170,12,12,2e,0,258064
62265000,1222,207,3,51,12,12,12,07038,-168,-170,168,170,12,12,12,0,258064
