time_ns,iq_count,state,old_state,num_ofdm_symbol,ht_ready,ofdm_in_stb,eq_out_stb_delayed,ofdm_symbol_eq_out_pulse,rate,len,num_bits_to_decode,n_ofdm_sym,n_bit_in_last_sym,deinter_decode_limit,deinter_count,demod_stb,deinter_stb,conv_in_stb,conv_in_stb_dly,vit_valid,conv_stb,descr_stb,bit_stb,byte_stb,byte_count,byte,fcs_stb,fcs_ok
32845000,634,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32855000,634,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32865000,634,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,1,2,02,0,0
32875000,635,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,3,02,0,0
32885000,635,4,3,4,1,0,0,0,0b,57,478,1,130,478,24,0,0,1,1,1,1,1,1,0,0,02,0,0
35195000,681,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35205000,681,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35215000,681,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35225000,682,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35235000,682,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35245000,682,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35255000,682,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35265000,682,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35275000,683,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35285000,683,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35295000,683,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35305000,683,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35315000,683,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35325000,684,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35335000,684,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35345000,684,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35355000,684,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35365000,684,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35375000,685,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35385000,685,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35395000,685,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35405000,685,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35415000,685,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35425000,686,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35435000,686,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35445000,686,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35455000,686,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35465000,686,6,6,4,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35475000,687,6,6,4,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35485000,687,6,6,4,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35495000,687,6,6,4,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35565000,688,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35575000,689,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35585000,689,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35595000,689,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35605000,689,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35615000,689,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35625000,690,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35635000,690,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35645000,690,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35655000,690,6,6,4,1,1,1,1,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35665000,690,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35675000,691,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35685000,691,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35695000,691,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35705000,691,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35715000,691,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35725000,692,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35735000,692,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35745000,692,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35755000,692,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35765000,692,6,6,4,1,0,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35775000,693,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35785000,693,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35795000,693,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35805000,693,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,0,0,0,0,0,0,0,0,0,0,00,0,0
35815000,693,6,6,4,1,1,1,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35825000,694,6,6,4,1,1,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35835000,694,6,6,4,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35845000,694,6,6,5,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35855000,694,6,6,5,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35865000,694,6,6,5,1,0,0,0,0b,57,48,1,130,48,0,1,0,0,0,0,0,0,0,0,0,00,0,0
35925000,696,6,6,5,1,0,0,0,0b,57,48,1,130,48,0,0,1,0,0,0,0,0,0,0,0,00,0,0
35935000,696,6,6,5,1,0,0,0,0b,57,48,1,130,48,1,0,1,1,0,0,0,0,0,0,0,00,0,0
35945000,696,6,6,5,1,0,0,0,0b,57,48,1,130,48,2,0,1,1,1,0,0,0,0,0,0,00,0,0
35955000,696,6,6,5,1,0,0,0,0b,57,48,1,130,48,3,0,1,1,1,0,0,0,0,0,0,00,0,0
35965000,696,6,6,5,1,0,0,0,0b,57,48,1,130,48,4,0,1,1,1,0,0,0,0,0,0,00,0,0
35975000,697,6,6,5,1,0,0,0,0b,57,48,1,130,48,5,0,1,1,1,0,0,0,0,0,0,00,0,0
35985000,697,6,6,5,1,0,0,0,0b,57,48,1,130,48,6,0,1,1,1,0,0,0,0,0,0,00,0,0
35995000,697,6,6,5,1,0,0,0,0b,57,48,1,130,48,7,0,1,1,1,0,0,0,0,0,0,00,0,0
36005000,697,6,6,5,1,0,0,0,0b,57,48,1,130,48,8,0,1,1,1,0,0,0,0,0,0,00,0,0
36015000,697,6,6,5,1,0,0,0,0b,57,48,1,130,48,9,0,1,1,1,0,0,0,0,0,0,00,0,0
