time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
65615000,1289,236,4,28,12,13,02,1bed8,-730,722,730,722,03,03,02,32,260096
65625000,1290,237,4,29,12,13,03,1bedf,725,725,725,725,02,03,03,33,258064
65635000,1290,238,4,30,12,13,03,1bedf,725,725,725,725,03,02,03,33,258064
65645000,1290,239,4,31,12,13,02,1bed8,-733,-725,733,725,03,03,02,34,258064
65655000,1290,240,4,32,12,13,03,1bedf,-728,-728,728,728,00,03,03,35,262144
65675000,1291,241,4,33,12,13,00,1b0d8,-728,720,728,720,01,00,00,37,262144
65685000,1291,242,4,34,12,13,00,1b0d8,728,-730,728,730,02,01,00,38,258064
65695000,1291,243,4,35,12,13,01,1b0df,725,-728,725,728,01,02,01,39,260104
65705000,1291,244,4,36,12,13,02,1bed8,-736,717,736,717,01,01,02,40,260112
65715000,1291,245,4,37,12,13,01,1b0df,-730,717,730,717,02,01,01,41,262144
65725000,1292,246,4,38,12,13,01,1b0df,728,-728,728,728,02,02,01,42,262144
65735000,1292,247,4,39,12,13,02,1bed8,-720,720,720,720,01,02,02,43,262144
65745000,1292,248,4,40,12,13,02,1bed8,-728,-728,728,728,02,01,02,44,262144
65755000,1292,249,4,41,12,13,01,1b0df,-728,-728,728,728,00,02,01,45,262144
65765000,1292,250,4,42,12,13,02,1bed8,-720,-728,720,728,00,00,02,46,262144
65775000,1293,251,4,43,12,13,00,1b0d8,-720,-728,720,728,00,00,00,46,262144
65785000,1293,252,4,44,12,13,00,1b0d8,-728,-720,728,720,00,00,00,47,262144
65795000,1293,253,4,45,12,13,00,1b0d8,722,-730,722,730,00,00,00,48,260096
65815000,1293,254,4,46,12,13,00,1b0d8,-733,-733,733,733,00,01,00,50,258064
65825000,1294,255,4,47,12,13,01,1b0df,-733,-733,733,733,00,00,01,51,258064
65835000,1294,256,4,48,12,13,00,1b0d8,-730,-736,730,736,00,00,00,0,258064
65845000,1294,257,4,49,12,13,00,1b0d8,-730,-736,730,736,00,00,00,0,258064
65855000,1294,258,4,50,12,13,00,1b0d8,-730,-736,730,736,00,00,00,0,258064
65865000,1294,259,4,51,12,13,00,1b0d8,-730,-736,730,736,00,00,00,0,258064
68845000,1354,260,5,0,12,13,01,1b0df,720,-728,720,728,02,03,01,4,262144
68855000,1354,261,5,1,12,13,03,1bedf,720,-728,720,728,01,02,03,5,262144
68865000,1354,262,5,2,12,13,02,1bed8,-728,720,728,720,01,01,02,6,262144
68875000,1355,263,5,3,12,13,01,1b0df,-728,720,728,720,02,01,01,6,262144
68885000,1355,264,5,4,12,13,01,1b0df,720,-720,720,720,02,02,01,7,262144
68895000,1355,265,5,5,12,13,02,1bed8,-728,720,728,720,01,02,02,8,262144
68915000,1355,266,5,6,12,13,01,1b0df,-725,-725,725,725,03,02,01,10,264192
68925000,1356,267,5,7,12,13,02,1bed8,-725,-725,725,725,00,03,02,11,264192
68935000,1356,268,5,8,12,13,03,1bedf,-722,719,722,719,00,00,03,12,264200
68945000,1356,269,5,9,12,13,00,1b0d8,717,-730,717,730,02,00,00,13,262144
68955000,1356,270,5,10,12,13,00,1b0d8,720,-728,720,728,01,02,00,14,262144
68965000,1356,271,5,11,12,13,02,1bed8,-728,720,728,720,01,01,02,15,262144
68975000,1357,272,5,12,12,13,01,1b0df,714,-727,714,727,02,01,01,16,264200
68985000,1357,273,5,13,12,13,01,1b0df,-725,717,725,717,01,02,01,17,264192
68995000,1357,274,5,14,12,13,02,1bed8,-728,712,728,712,02,01,02,18,262144
69005000,1357,275,5,15,12,13,01,1b0df,-720,-728,720,728,02,02,01,19,262144
69015000,1357,276,5,16,12,13,02,1bed8,-720,-728,720,728,00,02,02,19,262144
69025000,1358,277,5,17,12,13,02,1bed8,-728,-728,728,728,00,00,02,20,262144
69035000,1358,278,5,18,12,13,00,1b0d8,720,720,720,720,00,00,00,21,262144
69055000,1358,279,5,19,12,14,00,1b0d8,-728,720,728,720,00,03,00,23,262144
69065000,1358,280,5,20,12,14,03,1bedf,-728,720,728,720,02,00,03,24,262144
69075000,1359,281,5,21,12,14,00,1b0d8,717,717,717,717,02,02,00,25,264192
69085000,1359,282,5,22,12,14,02,1bed8,714,-714,714,714,03,02,02,26,266256
69095000,1359,283,5,23,12,14,02,1bed8,714,-714,714,714,01,03,02,26,262144
69105000,1359,284,5,24,12,14,03,1bedf,714,-714,714,714,01,01,03,26,262144
69115000,1359,285,5,25,12,14,01,1b0df,714,-714,714,714,01,01,01,26,262144
69195000,1361,286,5,26,12,14,01,1b0df,-728,720,728,720,00,00,01,30,262144
69205000,1361,287,5,27,12,14,00,1b0d8,728,728,728,728,02,00,00,31,262144
